"CUST_ID","BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT"
"C19157",22.084372,0.833333,173.6,0,173.6,0,0.5,0,0.333333,0,0,3,1500,209.452538,63.510706,0.333333
"C10581",5404.202992,1,469,286,183,8005.22508,0.666667,0.166667,0.333333,0.833333,52,4,7000,2676.467444,1468.475204,0
"C10411",918.342234,1,1221.53,1180,41.53,1078.788118,0.333333,0.166667,0.166667,0.166667,7,2,1200,1421.035206,106.039362,0.25
"C19175",20.260716,0.833333,110.5,0,110.5,0,0.666667,0,0.5,0,0,4,1500,161.476789,65.936751,0.5
"C10723",7006.751866,1,328.92,328.92,0,9497.696525,0.166667,0.166667,0,0.666667,12,2,10000,659.559695,1400.681628,0
"C10170",114.593817,1,469.98,0,469.98,0,1,0,0.833333,0,0,6,1000,367.109312,86.102479,0.5
"C14826",160.873814,0.666667,480,480,0,0,0.666667,0.666667,0,0,0,8,1500,38.770699,86.542118,0
"C18915",2486.283073,0.833333,0,0,0,4043.400571,0,0,0,0.5,6,0,4000,394.549489,533.337236,0
"C16722",4.822037,0.833333,58.32,0,58.32,0,0.833333,0,0.833333,0,0,6,1000,65.76347,32.631347,0.666667
"C19115",686.623746,1,422.21,149,273.21,729.332469,1,0.333333,0.833333,0.166667,2,11,1000,416.560172,82.401461,0
"C14313",5619.654569,1,2457.53,1352.63,1104.9,6088.185478,1,0.571429,0.857143,0.571429,16,35,8000,1140.70277,1824.646248,0
"C16290",2339.150068,1,502.63,502.63,0,2098.738085,0.285714,0.285714,0,0.285714,3,4,6000,539.450103,332.702117,0
"C12389",657.223335,0.857143,1151.91,615.85,536.06,442.688396,0.714286,0.285714,0.571429,0.285714,2,13,1000,632.225833,350.841821,0.2
"C15400",133.957441,0.571429,128.5,0,128.5,357.492328,0.142857,0,0.142857,0.142857,2,1,1500,507.934017,37.947135,0
"C14027",157.66813,0.857143,1263.51,87,1176.51,0,0.714286,0.142857,0.428571,0,0,8,10000,1458.713508,101.798289,1
"C16080",912.912728,0.857143,0,0,0,1563.920556,0,0,0,0.285714,9,0,1500,212.084925,331.487123,0
"C19149",21.357267,1,212.87,0,212.87,0,1,0,0.857143,0,0,7,1000,169.713838,103.387362,1
"C16244",624.717922,0.857143,0,0,0,1761.331946,0,0,0,0.571429,8,0,1200,901.464465,169.693848,0
"C13752",2899.032432,0.857143,0,0,0,3431.707208,0,0,0,0.571429,7,0,4000,407.402983,636.954252,0
"C17055",2230.477487,0.857143,0,0,0,2480.833949,0,0,0,0.142857,2,0,2500,391.306121,397.057608,0
"C18822",130.041299,1,581.28,0,581.28,342.397949,1,0,0.875,0.125,1,8,1000,498.524607,110.630755,0.5
"C12553",3.847042,0.5,182.08,0,182.08,0,1,0,0.875,0,0,8,1500,191.067061,54.734326,0.5
"C13509",1088.996599,1,0,0,0,2475.856774,0,0,0,0.75,10,0,2500,170.234238,214.292795,0
"C17985",1420.656377,0.875,0,0,0,1773.769481,0,0,0,0.25,4,0,2500,316.465166,344.662808,0
"C16697",3.690944,0.25,167.68,0,167.68,0,1,0,0.875,0,0,8,1500,614.893679,27.782057,0.166667
"C10472",1207.888199,0.875,1342.36,1037.96,304.4,1738.109478,0.875,0.875,0.5,0.25,2,27,4000,288.883026,312.026316,0
"C18303",213.434094,0.625,840.61,630.61,210,0,0.625,0.625,0.25,0,0,14,1200,233.334106,119.28773,0
"C18408",772.647723,0.875,0,0,0,970.37112,0,0,0,0.125,1,0,2500,125.862157,209.002905,0
"C12002",662.022698,0.875,280,280,0,2276.320971,0.125,0.125,0,0.25,2,1,3000,1914.038297,129.180504,0.142857
"C16036",1585.763627,0.625,85.69,85.69,0,2649.776206,0.125,0.125,0,0.25,6,2,3000,316.55616,538.259971,0
"C19081",2588.410789,0.888889,787.4,0,787.4,3762.650329,0.777778,0,0.666667,0.555556,10,17,3000,1739.406636,1769.001229,0
"C19068",30.17549,1,235.71,0,235.71,0,1,0,0.888889,0,0,9,1500,171.066972,128.961432,0.857143
"C18207",2687.82033,1,167.6,102.6,65,2916.277862,0.333333,0.111111,0.222222,0.111111,6,5,3000,376.896208,1395.338044,0
"C14921",49.433937,1,387,0,387,0,1,0,0.888889,0,0,9,3000,335.472854,122.280528,1
"C19074",281.877648,0.666667,0,0,0,489.527383,0,0,0,0.111111,1,0,500,236.503747,157.063207,0
"C13398",306.084815,0.888889,3200,0,3200,0,0.888889,0,0.777778,0,0,14,2500,3017.573426,116.302492,0.2
"C15675",3857.278468,1,0,0,0,1238.047916,0,0,0,0.444444,6,0,4000,666.97848,635.614648,0
"C19036",863.988978,0.555556,160.8,0,160.8,2259.94053,0.555556,0,0.444444,0.333333,3,5,3000,216.340896,461.990627,0
"C19073",7.4726,0.333333,63.4,35.09,28.31,0,0.222222,0.111111,0.111111,0,0,2,500,83.417439,106.028116,0
"C18043",1492.606493,0.777778,0,0,0,2361.57578,0,0,0,0.555556,17,0,2500,543.321868,478.995513,0
"C11460",4279.153917,1,1006.17,1006.17,0,0,0.3,0.3,0,0,0,9,7500,836.921157,920.73478,0
"C12164",1134.648238,1,143.12,143.12,0,0,0.1,0.1,0,0,0,1,1200,289.967312,286.845297,0
"C18740",100.212638,0.8,639.29,116.9,522.39,0,0.8,0.1,0.7,0,0,17,1500,269.84678,156.747495,0.5
"C18774",16.270638,0.3,1131.46,1131.46,0,0,0.2,0.2,0,0,0,3,3000,932.976337,69.561118,0
"C17357",158.641614,0.7,779.35,779.35,0,0,0.4,0.4,0,0,0,7,1200,812.070417,130.978236,0
"C12337",815.832195,0.5,211.22,83,128.22,3214.78962,0.6,0.1,0.5,0.2,23,6,3500,1664.863771,168.230369,0
"C14741",126.098257,0.8,387.66,387.66,0,0,0.7,0.7,0,0,0,24,1200,211.00385,174.40662,0
"C17272",1085.316705,0.9,0,0,0,2339.490308,0,0,0,0.6,18,0,2500,166.510521,369.439375,0
"C11720",75.070011,0.9,898.45,0,898.45,0,0.9,0,0.8,0,0,11,4000,743.358844,146.723712,1
"C18786",117.344883,1,661.3,0,661.3,477.825546,1,0,0.9,0.1,1,13,1200,562.896648,150.940292,0.25
"C14152",2525.425787,1,0,0,0,2892.511237,0,0,0,0.090909,2,0,3000,683.769908,750.741405,0
"C17035",1108.316745,1,480.7,0,480.7,2856.358168,0.909091,0,0.909091,0.272727,11,10,2500,2884.208351,413.570374,0.181818
"C14766",6313.362606,0.909091,0,0,0,9687.179224,0,0,0,0.636364,11,0,10000,6291.189848,1246.208875,0.090909
"C15243",535.291589,1,824.61,438.57,386.04,0,0.727273,0.181818,0.545455,0,0,20,4000,314.512747,159.094115,0
"C12375",933.150722,0.727273,0,0,0,1374.764359,0,0,0,0.090909,1,0,1500,360.729411,335.993476,0
"C14287",134.613205,0.727273,0,0,0,447.255199,0,0,0,0.090909,1,0,2500,414.896217,200.076565,0
"C11997",1402.776239,1,0,0,0,36.202957,0,0,0,0.181818,2,0,1500,152.324616,3244.712702,0
"C17875",16.834929,0.454545,15,15,0,209.025389,0.090909,0.090909,0,0.090909,1,1,7500,430.213001,86.959785,0
"C16136",3803.969016,1,0,0,0,2459.259917,0,0,0,0.727273,26,0,5000,1825.349955,1026.0174,0
"C18386",221.116228,0.727273,117.5,0,117.5,271.778244,0.909091,0,0.909091,0.090909,1,10,1200,628.179729,121.135771,0
"C12295",313.87913,1,2746.84,2170,576.84,0,1,0.916667,0.916667,0,0,59,2500,2562.579256,193.157628,0.25
"C13501",8161.84873,1,5519,4986.43,532.57,0,1,1,0.583333,0,0,91,9000,3723.833142,4650.41017,0
"C18209",52.806957,1,266.68,0,266.68,0,0.333333,0,0.333333,0,0,4,2000,367.892428,196.742169,0.5
"C15543",40.247238,0.181818,0,0,0,909.480894,0,0,0,0.083333,2,0,1500,3578.648701,69.271137,1
"C13491",39.670161,1,319.92,0,319.92,0,1,0,1,0,0,12,10000,365.863745,176.935616,0.727273
"C10123",54.933231,0.272727,495,0,495,0,0.166667,0,0.166667,0,0,2,7000,1969.845566,147.049952,1
"C15943",51.640761,1,453.24,0,453.24,0,1,0,1,0,0,12,5000,507.364658,170.772711,0.363636
"C11829",5681.962807,1,523.19,340.19,183,1116.370312,0.666667,0.166667,0.416667,0.25,4,8,11500,2167.822526,1433.734576,0
"C13365",3747.079869,1,0,0,0,3970.509167,0,0,0,0.333333,6,0,6000,6841.765563,1249.799792,0.083333
"C10292",1129.33758,1,498.96,0,498.96,72.259355,1,0,1,0.083333,1,12,1000,829.505486,1623.389428,0
